old_url,new_url,title,migrated_at
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/,https://dxw.getoutline.com/doc/benefits-bZJUbsa95H,"Benefits",2025-10-16 11:44:22
https://playbook.dxw.com/staff-handbook/leave/sabbatical-and-unpaid-leave/,https://dxw.getoutline.com/doc/sabbatical-and-unpaid-leave-FX42d39wNw,"Sabbatical and unpaid leave",2025-10-16 11:44:21
https://playbook.dxw.com/staff-handbook/line-management/,https://dxw.getoutline.com/doc/line-management-yuO93XhrA4,"Line management",2025-10-16 11:44:21
https://playbook.dxw.com/staff-handbook/leave/jury-service-leave/,https://dxw.getoutline.com/doc/jury-service-leave-GXpcWqTEo4,"Jury service leave",2025-10-16 11:44:20
https://playbook.dxw.com/staff-handbook/leave/medical-appointments/,https://dxw.getoutline.com/doc/medical-appointments-owQNferOzM,"Medical appointments",2025-10-16 11:44:20
https://playbook.dxw.com/staff-handbook/leave/personal-leave/,https://dxw.getoutline.com/doc/personal-leave-cNJYXPBSue,"Personal leave",2025-10-16 11:44:20
https://playbook.dxw.com/staff-handbook/leave/compassionate-leave/,https://dxw.getoutline.com/doc/compassionate-leave-yMqWxJNc2Z,"Compassionate leave",2025-10-16 11:44:19
https://playbook.dxw.com/staff-handbook/leave/holiday/,https://dxw.getoutline.com/doc/holiday-bHjt1LZjCg,"Holiday",2025-10-16 11:44:19
https://playbook.dxw.com/staff-handbook/learning-and-development/support-for-professional-qualifications/,https://dxw.getoutline.com/doc/support-for-professional-qualifications-JrOBVOgyYq,"Support for professional qualifications",2025-10-16 11:44:18
https://playbook.dxw.com/staff-handbook/leave/,https://dxw.getoutline.com/doc/leave-X084afjd9R,"Leave",2025-10-16 11:44:18
https://playbook.dxw.com/staff-handbook/leave/TOIL/,https://dxw.getoutline.com/doc/toil-BAli8t8und,"TOIL",2025-10-16 11:44:18
https://playbook.dxw.com/staff-handbook/working-securely/,https://dxw.getoutline.com/doc/working-securely-W2hhOAq95Y,"Working Securely",2025-10-16 11:44:17
https://playbook.dxw.com/staff-handbook/learning-and-development/,https://dxw.getoutline.com/doc/learning-and-development-6obvPLhr4e,"Learning and development",2025-10-16 11:44:17
https://playbook.dxw.com/staff-handbook/learning-and-development/how-to-use-your-learning-and-development-allowance/,https://dxw.getoutline.com/doc/learning-and-development-budget-ilpy1ybH6D,"Learning and development budget",2025-10-16 11:44:17
https://playbook.dxw.com/staff-handbook/when-and-where-you-work/,https://dxw.getoutline.com/doc/when-and-where-you-work-ER6rmydWXx,"When and where you work",2025-10-16 11:44:16
https://playbook.dxw.com/staff-handbook/whistleblowing-policy/,https://dxw.getoutline.com/doc/whistleblowing-policy-uMPwRtzxaF,"Whistleblowing policy",2025-10-16 11:44:16
https://playbook.dxw.com/staff-handbook/our-offices/,https://dxw.getoutline.com/doc/our-offices-QAlGm5XjpW,"Our offices",2025-10-16 11:44:15
https://playbook.dxw.com/staff-handbook/recording-your-time/,https://dxw.getoutline.com/doc/recording-your-time-UeTGb3pATc,"Recording your time",2025-10-16 11:44:15
https://playbook.dxw.com/staff-handbook/recruitment-process/,https://dxw.getoutline.com/doc/recruitment-process-sewWSr3b6Q,"Recruitment process",2025-10-16 11:44:15
https://playbook.dxw.com/staff-handbook/leaving-dxw/,https://dxw.getoutline.com/doc/leaving-dxw-RnTYl5Q7pr,"Leaving dxw",2025-10-16 11:43:22
https://playbook.dxw.com/staff-handbook/onboarding/,https://dxw.getoutline.com/doc/onboarding-m4czPDV0su,"Onboarding",2025-10-16 11:43:22
https://playbook.dxw.com/staff-handbook/flexible-working/,https://dxw.getoutline.com/doc/flexible-working-SLehtr4oLJ,"Flexible working",2025-10-16 11:43:21
https://playbook.dxw.com/staff-handbook/guidance-on-using-slack/,https://dxw.getoutline.com/doc/guidance-on-using-slack-cW9FbXBCbc,"Guidance on using Slack",2025-10-16 11:43:21
https://playbook.dxw.com/staff-handbook/in-person-working/,https://dxw.getoutline.com/doc/in-person-working-3dhI2kcdB9,"In-person working",2025-10-16 11:43:21
https://playbook.dxw.com/staff-handbook/data-protection-and-confidentiality/,https://dxw.getoutline.com/doc/data-protection-and-confidentiality-QjcAJ0r7k9,"Data protection and confidentiality",2025-10-16 11:43:20
https://playbook.dxw.com/staff-handbook/dxw-time/,https://dxw.getoutline.com/doc/dxw-time-twi2FTaorD,"dxw time",2025-10-16 11:43:20
https://playbook.dxw.com/sales-and-marketing/sales-and-marketing-team-principles/,https://dxw.getoutline.com/doc/sales-and-marketing-team-principles-BmlkgkgWPf,"Sales and marketing team principles",2025-10-16 11:43:19
https://playbook.dxw.com/staff-handbook/,https://dxw.getoutline.com/doc/staff-handbook-RfUX2dzmhl,"Staff handbook",2025-10-16 11:43:19
https://playbook.dxw.com/staff-handbook/claiming-expenses/,https://dxw.getoutline.com/doc/claiming-expenses-YDpGm2oRdW,"Claiming expenses",2025-10-16 11:43:19
